,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Building For Sale Kandy Menikhinna,25 Jul  2:51 pm,"Kandy, Kandy","32,000,000",ගොඩනැගිල්ලක්  විකිණීමට - මහනුවර මැනික්හින්න====================================,Building,"5,000 sqft",
2,"['Building For Sale Kandy Menikhinna', '25 Jul  2:51 pm', 'Kandy, Kandy', '32,000,000', 'ගොඩනැගිල්ලක්  විකිණීමට - මහනුවර මැනික්හින්න====================================', 'Building', '5,000 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Property For Sale in Kandy Town,25 Jul 12:57 pm,"Kandy, Kandy","35,000,000",බිම් මහලේ ව.අඩි 4400 ප්‍රමාණය මහල් 5 කින් යුත් අගනා ගොඩනැගිල්ල ඉක්මනින් විකිණේ. මෙය මහනුවර නගරයේ කොටුගොඩැල්ල වීදියේ පිහිටා ඇත.,Building,Kotugodalla Veediya Kandy Town,"4,400 sqft"
4,Building for Sale - Kandy,19 Jul  7:15 pm,"Kandy, Kandy","117,500,000",Building for sale kandy peradaniya road 9500 sq feet 12 crores bro( foud gate pvt ltd),Building,"9,500 sqft",
5,Building for Sale Kandy,19 Jul  8:50 pm,"Kandy, Kandy","300,000,000",BUILDING FOR SALE KANDY=========================,Building,"9,650 sqft",
6,වටිනා කඩ කමරයක් විකිණීමට - දිගන,13 Jul 10:33 am,"Digana, Kandy","4,500,000","දිගන නගරයේ මඩවල පාරට මුහුණ ලා පිහිටි එකිනෙකට යාබද කඩ කාමර දෙකක් (දෙකම එකක් ලෙස සම්බන්ද කර ඇත) විකිණීමට ඇත.  විදුලිය නල ජලය ඇත .වාහන නැවතීමට ඉඩ ඇත. කඩ පෙලේ අවසානයට වන්න ඇති නිසා  ඕනෑම ව්‍යයාපාරයක් සදහා සුදුසුයි.විශේෂයෙන්  saloon, hotel  හෝ , hardware එකකට  සුදුසු වේ. Hardware එකක් ආරම්භ කරන්න බලාපොරොත්තු වන කෙනෙක් සිටී නම් ඒ ආසන්නයේ ප්‍රධාන පාරට මුහුණ ලා පිහිටි  ඉඩමද විකිනීමට බලාපොරොත්තු වේ.  ලක්ශ  45 Adjacent two shops for sale at Digana facing madawala road. water, electricity and parking space available. These shops are suitable for any kind of business. Genuine buyers only",Shop,madawala road,400 sqft
7,Building For Sale In Katugastota,15 Jul  2:22 am,"Katugastota, Kandy","28,500,000","This newly built commercial property is ideal for a bank,leasing company,Corporate office or any other business of your choice.This property is faced to the Kandy-Kurunegala main road.This building has a underground floor and the first floor is faced to the main road as shown in the photo attached.Building is new and fully tiled and it has all the facilities including electricity and water.It also has a commercial type wash room area with bathing facilities. This valuable property is for immidiate sale and will be given for the best offer.Thank you!",Building,"Kurunegala Road,Uyanwatte,Nugawela,Kandy","5,000 sqft"
8,Ayurvedic Factory for sale in Kandy,23 Jul 10:06 am,"Kandy, Kandy","30,000,000","Ayurvedic Factory for Sale in Pallekele, Kandy. Very close to Pallekele International Cricket Stadium.  built on 95 perches Land with 7 buildings, rest room, office, stores, conference room and main hall.",Factory / Workshop,Factory / Workshop,"24,503 sqft"
9,Commercial Building For Sale Gampola.,11 Jul  9:55 pm,"Gampola, Kandy","38,000,000","9.64 Perches Land,2 store Building With House.   Facing To Gampola- Kandy Main Road,  Suitable For an Show Room/ Office / Hotel /Home.Ground Floor Has a Open Space, Two Bead Room Kitchen one Barth Room Fully Tile House In the Second Floor. . Able to enter From Back Side to the House. Full Land Building.",Building,"Kandy Road, Gampola.","5,200 sqft"
10,Building for Sale - Teldeniya,11 Jul  5:01 pm,"Digana, Kandy","15,000,000",Building For Sale - Teldeniya2000sqftTown AreaWater ElectricityInternet Facility 2 Entrance,Building,"Kandy Road, Tedeniya","2,000 sqft"
11,Commercial Property for Sale - Waththegama,10 Jul 10:09 pm,"Kandy, Kandy","23,000,000",Commercial Property For Sale ,Building,"waththegama,Kandy","1,400 sqft"
12,Building for Sale - Katugasthota,13 Jul  5:33 pm,"Katugastota, Kandy","48,000,000","very good investment opportunity for you if you interested pay 30 million first and rest of others can be given after one year (ඔබ කැමති නම් පළමුව මිලියන 30 ක් ගෙවිය යුතු අතර අනෙක් ඒවා වසරකට පසු ලබා දිය හැකිය). if you want to rent this building we can offer 100000/- monthly for 5 years.(60 x 100000= 6000000).13 perches the three-story building, the foundation has been established for five-story.parking available for 8 vehiclesThe building is situated in katugastothata and Peradeniya.to katugastota 3.5 km",Factory / Workshop,"6,700 sqft",
13,Commercial Building for sale in Kandy,12 Jul  3:01 pm,"Kandy, Kandy","14,000,000",Near to 200m menikhinna townCurrent And Water Services,Building,41 bus stand Menikhina,"1,200 sqft"
14,Commercial Building for Sale in Digana,24 Jul  3:15 pm,"Digana, Kandy","25,000,000",Situated in Digana town 4 stories building Ground floor - shop1st & 2nd floor - shop Water and electricity are available Mahaweli deeds{2nd owner),Building,"2,600 sqft",
15,Shop for Sale Kandy, 7 Jul 12:12 pm,"Kandy, Kandy","5,500,000",Shop for sale kandy ..market ..torrinton..55 lakhs upwards (broker al hadi international ),Shop,270 sqft,
16,Gest House for Immediate Sale in Hanthana,25 Jul 12:06 pm,"Kandy, Kandy","3,200,000","A Gest House in A 39 Perch Land, in Hanthana for Immediate Sale. 6.9km to Kandy City .",Hotel,"3,000 sqft",
17,Boutique Hotel for Sale in - Kandy, 5 Jul  6:00 pm,"Kandy, Kandy","130,000,000","4 Large Bedrooms with Individual Balconies. (rooms Can Accommodate up To 12 Pax)Fully Furnished with Antiques and Designer FurnitureAll Rooms Fully Equipped with Large Tv,ac.Hot Water and WifiAlso Includes Kitchen EquipmentEntire House on Wooden Natural FlooringAdditional Staff Quarters for 4 Members with Seperate Washroom5-6 Car Slots.",Hotel,"5,000 sqft",
18,Textile Shop for Sale Immediately in - Kandy,18 Jul 10:48 am,"Kandy, Kandy","1,500,000","Following All Textile Items Are Going to Sell Immediately Clothes ( Mens ,womans, Kids Others )Dummies Show Racks HagersClothes Racks and All of Textile Catergory ",Shop,360 sqft,
19,Commercial Property for Sale in Peradeniya,24 Jul  3:15 pm,"Peradeniya, Kandy","13,000,000",Commercial property for sale in Peradeniya 15m to Colombo-Kandy road2 storied building Water and electricity available For urgent sale Price negotiable,Building,800 sqft,
20,Valuable Building for Sale in - Mahakanda,23 Jul  8:46 am,"Pilimatalawa, Kandy","7,000,000","03 Story Building to Be Sold at Highest Offer,No Broker Please.",Building,Mahakanda,"2,000 sqft"
