,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale Yala Katharagama, 5 Jul  3:42 pm,"Kataragama, Moneragala","4,000,000",මොනරාගල දිස්ත්‍රික්කයෙන් කතරගම නගරයට නුදුරින් සිතුල්පව්ව යාල ප්‍රධාන මාර්ගයට ආසන්න යාල ප්‍රධාන පිවිසුම් K.M 4ක් පරිසර හිතකාමි  නිවාඩු නිකේතනක්ට සංචාරක හෝටල්යකට සුදුසු ලිං ජලය  විදුලිය සහිත අක්කර 2ක්  මුලු හො ඉන් (අඩක් ලක්ෂ 40කට) විකුනනු ලැබේ කාමර දෙකක්අත්තිවාරමකද හෝටල්ඉදිකිරිමේ බලපත්‍රයද ඇත  සහිත මෙම ඉඩමට මැණ්ක් ගැරිමේ බලපත්‍රකද ඇත . වයඹ පලාතේ පොල් ඉඩමකට හුවමාරුව ද සලකා බැලේ ,Commercial,2.0 acres,
2,"['Land for Sale Yala Katharagama', ' 5 Jul  3:42 pm', 'Kataragama, Moneragala', '4,000,000', 'මොනරාගල දිස්ත්\u200dරික්කයෙන් කතරගම නගරයට නුදුරින් සිතුල්පව්ව යාල ප්\u200dරධාන මාර්ගයට ආසන්න යාල ප්\u200dරධාන පිවිසුම් K.M 4ක් පරිසර හිතකාමි  නිවාඩු නිකේතනක්ට සංචාරක හෝටල්යකට සුදුසු ලිං ජලය  විදුලිය සහිත අක්කර 2ක්  මුලු හො ඉන් (අඩක් ලක්ෂ 40කට) විකුනනු ලැබේ කාමර දෙකක්අත්තිවාරමකද හෝටල්ඉදිකිරිමේ බලපත්\u200dරයද ඇත  සහිත මෙම ඉඩමට මැණ්ක් ගැරිමේ බලපත්\u200dරකද ඇත . වයඹ පලාතේ පොල් ඉඩමකට හුවමාරුව ද සලකා බැලේ ', 'Commercial', '2.0 acres']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Huge Land and House for Sale in Colombo - Kataragama Main Road,16 Jul  1:44 pm,"Kataragama, Moneragala","115,000","You'll surely choose this calm and quiet location in a rapidly developing area for your new rest-house, car sale, hotel or even for your residence. It is facing Colombo-Kataragama main road and is just a 4-minute drive to Kataragama town. ","Commercial, Residential",226.0 perches,
4,Land For Sale - Moneragala,24 Jul 11:41 am,"Moneragala, Moneragala","750,000","මොණරාගල, හුලංදාව හංදියේ සිට 10KM ඇතුලට වෙන්න. Plat land, බලපත්‍ර සගිත මෙම ඉඩම විදුලි පහසුකම්, ජල පහසුකම්, රබර් , කෙසෙල් , බඩ ඉරිගු , රටකජු, අඹ, පොල්, වගා කිරීම් වලට ඉතා සුදුසුය; අලුතින් නිවාසයක් තැනීමටද සුදුසුය.","හුලංදාව දකුණ පාර,",Other,320.0 perches
5,Land for Sale in Kataragama,23 Jul 11:00 am,"Kataragama, Moneragala","300,000",Kataragama wawa asala athi idama wikineemata 3 laks per perch,"Commercial, Residential",58.0 perches,
6,50 Perches Land for Sale - Kataragama,22 Jul  1:00 pm,"Kataragama, Moneragala","3,750,000","50 perches land with , parapet wall , Electricity  Good for Guest house , peace full environment  15  minutes to kataragama Devalaya","Kataragama ( Wallimathagama , Situl pawwa Road )",Residential,50.0 perches
7,Lands for Sale in Monaragala perches blocks,23 Jul 11:26 am,"Moneragala, Moneragala","150,000","500m from Monaragala town10/ 15/ 20/ 25 perches Blocks are available to sale immediately150,000 and above / perch","Commercial, Residential",10.0 perches,
8,Land for Sale in Monaragala,21 Jul  9:40 am,"Moneragala, Moneragala","550,000",මොණරාගල හුලංදාව දකුණ කාපට් පාරවගාවක් සඳහා සුදුසුයිතේක්ක ගස් සහිත ඉඩම,"Agricultural, Commercial",1.0 acres,
9,Land for Sale - Buttala,20 Jul  8:15 am,"Buttala, Moneragala","8,500,000","The property is situated at the village of Kande Ara on the Buttala-Kataragama Road in the District of Monaragala, just 25 Minutes from Kataragama, 15 minutes from Buttala Town (in the opposite direction) and 4Km from the Yala Block 2 Entrance.",Residential,2.0 perches,
