,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක්,15 Jul 12:19 pm,"Chilaw, Puttalam","210,000",හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක් මහවැව වැවට මුහුණලා...මනස්කාන්ත පරිසරයක පහස..විමසීම්,හලාවත - මහවැව,"Agricultural, Commercial, Residential, Other",24.0 perches
2,"['හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක්', '15 Jul 12:19 pm', 'Chilaw, Puttalam', '210,000', 'හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක් මහවැව වැවට මුහුණලා...මනස්කාන්ත පරිසරයක පහස..විමසීම්', 'හලාවත - මහවැව', 'Agricultural, Commercial, Residential, Other', '24.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක්,15 Jul 12:19 pm,"Chilaw, Puttalam","210,000",හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක් මහවැව වැවට මුහුණලා...මනස්කාන්ත පරිසරයක පහස..විමසීම්,හලාවත - මහවැව,"Agricultural, Commercial, Residential, Other",24.0 perches
4,Land for Sale in - Chilaw,27 Jul 12:48 pm,"Chilaw, Puttalam","6,000,000","#හලාවත ,කුරුණෑගල ප්‍රධාන මාර්ගයට මුහුණලා පිහිටි මෙම ඉඩම පදිංචියටත් ආයෝජනයටත් සුදුසුය.#හලාවත නගරයට 3km.#පර්චස් 20 ඇත.#මාර්ග පහසුකම්#දුරකථන පහසුකම්#පිරිසිදු ඔප්පු#නල ජල පහසුකම්#විදුලිය#පුළුල් මාර්ග#වැඩි විස්තර සදහා පහත සදහන් අංක වෙත අමතන්න..✌️","Commercial, Residential, Other",20.0 perches,
5,ඉඩමක් විකිණීමට හලාවත,26 Jul  5:48 pm,"Chilaw, Puttalam","200,000",කොක්කවිල දුම්මලසූරිය බස් පාරය මායිම්ව මෙම ඉඩම ඇත පොල් ගස් 5ක් පමණද කඩ කාමරයක්ද ඇත  මුදල් හදිස්සියකට ඉක්මනින් විකිනේ,ද/මහගම මුගුණුවටවන හලාවත,Residential,28.5 perches
6,Land for Sale in Chilaw,25 Jul  1:01 pm,"Chilaw, Puttalam","2,500,000",Land Size - 4 Acresපීදීගෙන එන සරුසාර වැඩුන ගස් අස්වනු නෙලන ගස් ජලය විදුලිය සම්පූර්ණ ඉඩම කම්බි වැටකින් ආරක්ෂා කර තිබේ.පුංච් නිවසකින් සමන්විතයි.පිරිසිඳු ඔප්පු,"Wilpatha,Chilaw.",Agricultural,4.0 acres
7,(LS170) Coconut Estate Andiagama,24 Jul 11:06 am,"Chilaw, Puttalam","25,000,000",LKR 1.4 million per acre20 acresLand bordering riverLand with a house100% irrigated estateSkilled laborersQuiet area2 wells with submersible water pumps15 foot access roadConvenient access,Andiagama,"Agricultural, Commercial, Residential",20.0 acres
8,Land for Sale - Chilaw,23 Jul  5:02 pm,"Chilaw, Puttalam","2,300,000","හලාවත කුරුණෑගල ප්‍රදාන පාරට පෙනෙන දුරින් කන්ජුක්ක්ලියෙන් වටිනා ඉඩමක් විකිණීමට පන්සල , පල්ලිය , පාසල ඉතා සමීපයෙන් (200m )හරි හතරැස් සාරවත් ඉඩම නිවසක් සැදීමට ඉතා සුදුසුය මිල ගණන් කතා කර ගත හැක","Kakkapalliya , Chilaw",Commercial,20.0 perches
9,Iranawila Beach Front 10 Acre Land for Sale,23 Jul  2:16 pm,"Chilaw, Puttalam","70,000",Rs 70000.00 LAKHSPER PERCHNegotiable,FACING IRANAWILA BEACH IRANAWILA CHILAW,"Commercial, Residential",10.0 acres
