,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Building for Sale in Kurunegala,25 Jul  2:10 pm,"Kurunegala, Kurunegala","25,500,000","කුරුණෑගල නගරයට කි.මී 3යි.කොලඹ කුරුණෑගල ප්‍රදාන මාර්ගයට මුහුනලා පිහිටා ඇති ව.අඩි 4000කින් සමන්විත, ඕනෑම ව්‍යාපාරයකට සුදුසු ඉඩම සහ ගොඩනැගිල්ල විකිණීමට හෝ බදු දීමට ඇත. පර්චස් 15.6ණය පහසුකම් ලබාගත හැක.අදිවේගී මාර්ගයට කි.මී 1/2නිරවුල් ඔප්පුසියළුම පහසුකම් සහිතයිපාරට මුහුනලා අඩි 33මිළ ගනන් සාකච්චා කරගත හැක.",Building,"4,000 sqft",
2,"['Building for Sale in Kurunegala', '25 Jul  2:10 pm', 'Kurunegala, Kurunegala', '25,500,000', 'කුරුණෑගල නගරයට කි.මී 3යි.කොලඹ කුරුණෑගල ප්\u200dරදාන මාර්ගයට මුහුනලා පිහිටා ඇති ව.අඩි 4000කින් සමන්විත, ඕනෑම ව්\u200dයාපාරයකට සුදුසු ඉඩම සහ ගොඩනැගිල්ල විකිණීමට හෝ බදු දීමට ඇත. පර්චස් 15.6ණය පහසුකම් ලබාගත හැක.අදිවේගී මාර්ගයට කි.මී 1/2නිරවුල් ඔප්පුසියළුම පහසුකම් සහිතයිපාරට මුහුනලා අඩි 33මිළ ගනන් සාකච්චා කරගත හැක.', 'Building', '4,000 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Building for Sale in Kurunegala,25 Jul  2:05 pm,"Kurunegala, Kurunegala","28,500,000","කුරුණෑගල නගරයට කි.මී 3යි.කොලඹ කුරුණෑගල ප්‍රදාන මාර්ගයට මුහුනලා පිහිටා ඇති ව.අඩි 6000කින් සමන්විත, ඕනෑම ව්‍යාපාරයකට සුදුසු ඉඩම සහ ගොඩනැගිල්ල විකිණීමට හෝ බදු දීමට ඇත. පර්චස් 23 1/2.ණය පහසුකම් ලබාගත හැක.අදිවේගී මාර්ගයට කි.මී 1/2සියළුම පහසුකම් සහිතයිමිළ ගනන් සාකච්චා කරගත හැක.",Building,"6,000 sqft",
4,Shop for Sale at Kurunegala City, 6 Jul  3:45 pm,"Kurunegala, Kurunegala","2,190,000",කුරැණෑගල නගරය මැද පූධාන බස් නැවතුම්පල අසල දඔුලු පාරට මුහුනලා ඇති MC PLAZA හි 2වන මහලේ  කඩ කාමරයක් විකිණීමට ඇත *************************************************	(වාහන මාරුද සැලකේ ),Shop,Kurunegala city,400 sqft
5,Commercial Building for Sale in Kurunegala.,24 Jul 10:37 am,"Kurunegala, Kurunegala","95,000,000","කුරුණෑගල දඹුල්ල පාර මුත්තේට්ටුගල නවීන හෝටලය සමග උත්සව ශාලාව විකිණීමට,ඕනෑම ව්‍යාපාරයකට සුදුසුයි.",Hotel,"Dabulla Road, Kurunegala,","6,000 sqft"
6,Building For Sale in Pannala,23 Jul  3:58 pm,"Pannala, Kurunegala","15,000,000",KURUNEGALA MEEGAMUWA PAREPANNALA NAGARAYE PERCHES 5 KAWIYAPAARIKA THEMAHALGODANEGILLA SAHA NIWASA WIKINEEMATA.,Building,"1,280 sqft",
7,Building for sale - Mawathagama,22 Jul  3:56 pm,"Mawathagama, Kurunegala","9,500,000",5.5 perches land with a building fir sale in mawathagama townContact me for more details,Shop,"Kandy road, Mawathagama",200 sqft
8,ව්‍යාපාරික ගොඩනැගිල්ල විකිණීමට / ඉබ්බාගමුව,18 Jul  5:23 pm,"Ibbagamuwa, Kurunegala","7,500,000",ව්‍යාපාරික ගොඩනැගිල්ල විකිණීමට - ඉබ්බාගමුවජලය විදුලිය සහිත පර්චස් 15 ක ඉඩමදඹුල්ල - කුරුණෑගල පාර තල්ග‍ොඩපිටිය හංදියට 1මාතල‍ේ - කුරුණෑගල පාරට මුහුණලා ඇත.වැඩි විස්තර සදහා කථා කරන්න####.......#####.......#####.......####,Building,මාතල‍ේ පාර - කිරිදිගල්ල - ඉබ්බාගමුව - කුරුණෑගල,850 sqft
9,Guest House for Sale in Kurunegala,12 Jul  7:31 pm,"Kurunegala, Kurunegala","28,000,000","▶️GUESTHOUSE.▶️සුඛෝපභෝගී  කාමර 10ක්  සහිත  සමිපුර්ණයෙන් වැඩ නිමකල දෙමහල් ගොඩනැගිල්ල.▶️දැනට මාසික ආදායම ලක්ෂ 2ට වැඩි.▶️මිට අමතරව අලුතින් ඉදිකර ඇති කාමර වෙන් නොකල තෙමහල් ගොඩනැගිල්ල,▶️ඉතා ඉක්මනින් විකිණීමට.",Other,කුරුණෑගල පාර  පොල්පිතිගම,"5,000 sqft"
10,Hotel 6 BD BR For Sale in Kurunegala,12 Jul  4:03 pm,"Kurunegala, Kurunegala","18,000,000","Brand New Two Story Hotel For Sale In Mallawapitiya, Kurunegala.18 Perches Landscaped garden area.",Hotel,"Lake Terrace Mallawapitiya, Kurunegala.","3,000 sqft"
